 i1 j1 k1 i2 j2 k2   <i1j1k1|H|i2j2k2> 
  7  0  0  0  0 10     0.00000000
  8  0  0  0  0 10     0.00000000
  9  0  0  0  0 10     0.00000000
 10  0  0  0  0 10     0.00000000
  0  1  0  0  0 10     0.00000001
  0  2  0  0  0 10     0.00000000
  0  3  0  0  0 10     0.00000000
  0  4  0  0  0 10     0.00000000
  0  5  0  0  0 10     0.00000000
  0  6  0  0  0 10     0.00000000
  0  7  0  0  0 10     0.00000000
  0  8  0  0  0 10     0.00000000
  0  9  0  0  0 10     0.00000000
  0 10  0  0  0 10     0.00000000
  0  0  2  0  0 10     0.00000000
  0  0  4  0  0 10     0.00000000
  0  0  6  0  0 10     0.00000000
  0  0  8  0  0 10     0.00000000
  3  0  0  1  1  0     0.00057570
  4  0  0  1  1  0     0.00007612
  5  0  0  1  1  0     0.00005210
  6  0  0  1  1  0    -0.00000091
  7  0  0  1  1  0     0.00000345
  8  0  0  1  1  0     0.00000043
  9  0  0  1  1  0     0.00000014
 10  0  0  1  1  0     0.00000034
  0  3  0  1  1  0    -0.00008937
  0  4  0  1  1  0     0.00006142
  0  5  0  1  1  0     0.00002902
  0  6  0  1  1  0    -0.00001260
  0  7  0  1  1  0     0.00000539
  0  8  0  1  1  0     0.00000234
  0  9  0  1  1  0    -0.00000105
  0 10  0  1  1  0    -0.00000054
  0  0  2  1  1  0    -0.00008724
  0  0  4  1  1  0    -0.00000455
  0  0  6  1  1  0    -0.00000025
  0  0  8  1  1  0    -0.00000002
  0  0 10  1  1  0     0.00000000
  0  0  0  2  1  0     0.00034450
  4  0  0  2  1  0     0.00078229
  5  0  0  2  1  0    -0.00010852
  6  0  0  2  1  0     0.00008619
  7  0  0  2  1  0     0.00000222
  8  0  0  2  1  0    -0.00000626
  9  0  0  2  1  0     0.00000183
 10  0  0  2  1  0    -0.00000008
  0  1  0  2  1  0    -0.00012309
  0  2  0  2  1  0     0.00046406
  0  3  0  2  1  0     0.00031443
  0  4  0  2  1  0    -0.00013751
  0  5  0  2  1  0    -0.00005678
  0  6  0  2  1  0     0.00002359
  0  7  0  2  1  0    -0.00001002
  0  8  0  2  1  0    -0.00000438
  0  9  0  2  1  0     0.00000199
  0 10  0  2  1  0     0.00000105
  0  0  2  2  1  0     0.00008936
  0  0  4  2  1  0     0.00000489
  0  0  6  2  1  0     0.00000028
  0  0  8  2  1  0     0.00000002
  0  0 10  2  1  0     0.00000000
  0  0  0  3  1  0     0.00004254
  1  0  0  3  1  0     0.00057573
  5  0  0  3  1  0    -0.00096684
  6  0  0  3  1  0    -0.00013897
  7  0  0  3  1  0    -0.00012577
  8  0  0  3  1  0    -0.00000801
  9  0  0  3  1  0    -0.00001077
 10  0  0  3  1  0    -0.00000540
  0  1  0  3  1  0     0.00000766
  0  2  0  3  1  0     0.00005881
  0  3  0  3  1  0     0.00001376
  0  4  0  3  1  0    -0.00000378
  0  5  0  3  1  0    -0.00000129
  0  6  0  3  1  0     0.00000052
  0  7  0  3  1  0    -0.00000021
  0  8  0  3  1  0    -0.00000008
  0  9  0  3  1  0     0.00000003
  0 10  0  3  1  0     0.00000001
  0  0  2  3  1  0     0.00000076
  0  0  4  3  1  0     0.00000016
  0  0  6  3  1  0     0.00000001
  0  0  8  3  1  0     0.00000000
  0  0 10  3  1  0     0.00000000
  1  1  0  3  1  0    -0.00020392
  0  0  0  4  1  0    -0.00002448
  1  0  0  4  1  0     0.00007612
  2  0  0  4  1  0     0.00078232
  6  0  0  4  1  0    -0.00113041
  7  0  0  4  1  0     0.00016503
  8  0  0  4  1  0     0.00016300
  9  0  0  4  1  0    -0.00005521
 10  0  0  4  1  0     0.00002359
  0  1  0  4  1  0     0.00000457
  0  2  0  4  1  0    -0.00003400
  0  3  0  4  1  0    -0.00001782
  0  4  0  4  1  0     0.00000807
  0  5  0  4  1  0     0.00000355
  0  6  0  4  1  0    -0.00000156
  0  7  0  4  1  0     0.00000068
  0  8  0  4  1  0     0.00000030
  0  9  0  4  1  0    -0.00000014
  0 10  0  4  1  0    -0.00000007
  0  0  2  4  1  0    -0.00000487
  0  0  4  4  1  0    -0.00000035
  0  0  6  4  1  0    -0.00000002
  0  0  8  4  1  0     0.00000000
  0  0 10  4  1  0     0.00000000
  1  1  0  4  1  0     0.00001543
  2  1  0  4  1  0    -0.00027504
  0  0  0  5  1  0    -0.00000023
  1  0  0  5  1  0     0.00005210
  2  0  0  5  1  0    -0.00010852
  3  0  0  5  1  0    -0.00096688
  7  0  0  5  1  0    -0.00127854
  8  0  0  5  1  0     0.00015682
  9  0  0  5  1  0    -0.00019059
 10  0  0  5  1  0    -0.00014685
  0  1  0  5  1  0     0.00000089
  0  2  0  5  1  0    -0.00000037
  0  3  0  5  1  0    -0.00000105
  0  4  0  5  1  0     0.00000066
  0  5  0  5  1  0     0.00000029
  0  6  0  5  1  0    -0.00000011
  0  7  0  5  1  0     0.00000005
  0  8  0  5  1  0     0.00000002
  0  9  0  5  1  0    -0.00000001
  0 10  0  5  1  0    -0.00000001
  0  0  2  5  1  0    -0.00000021
  0  0  4  5  1  0     0.00000000
  0  0  6  5  1  0     0.00000000
  0  0  8  5  1  0     0.00000000
  0  0 10  5  1  0     0.00000000
  1  1  0  5  1  0    -0.00001011
  2  1  0  5  1  0    -0.00002474
  3  1  0  5  1  0     0.00033791
  0  0  0  6  1  0    -0.00000147
  1  0  0  6  1  0    -0.00000091
  2  0  0  6  1  0     0.00008619
  3  0  0  6  1  0    -0.00013897
  4  0  0  6  1  0    -0.00113045
  8  0  0  6  1  0     0.00141577
  9  0  0  6  1  0    -0.00013686
 10  0  0  6  1  0     0.00033749
  0  1  0  6  1  0    -0.00000003
  0  2  0  6  1  0    -0.00000209
  0  3  0  6  1  0    -0.00000075
  0  4  0  6  1  0     0.00000031
  0  5  0  6  1  0     0.00000015
  0  6  0  6  1  0    -0.00000005
  0  7  0  6  1  0     0.00000001
  0  8  0  6  1  0    -0.00000001
  0  9  0  6  1  0     0.00000001
  0 10  0  6  1  0     0.00000001
  0  0  2  6  1  0    -0.00000039
  0  0  4  6  1  0    -0.00000002
  0  0  6  6  1  0     0.00000000
  0  0  8  6  1  0     0.00000000
  0  0 10  6  1  0     0.00000000
  1  1  0  6  1  0     0.00000192
  2  1  0  6  1  0    -0.00001719
  3  1  0  6  1  0    -0.00003527
  4  1  0  6  1  0     0.00039367
  0  0  0  7  1  0    -0.00000013
  1  0  0  7  1  0     0.00000345
  2  0  0  7  1  0     0.00000222
  3  0  0  7  1  0    -0.00012577
  4  0  0  7  1  0     0.00016503
  5  0  0  7  1  0    -0.00127859
  9  0  0  7  1  0    -0.00178286
 10  0  0  7  1  0    -0.00038895
  0  1  0  7  1  0     0.00000008
  0  2  0  7  1  0    -0.00000020
  0  3  0  7  1  0    -0.00000012
  0  4  0  7  1  0     0.00000008
  0  5  0  7  1  0     0.00000002
  0  6  0  7  1  0     0.00000001
  0  7  0  7  1  0    -0.00000002
  0  8  0  7  1  0    -0.00000001
  0  9  0  7  1  0     0.00000001
  0 10  0  7  1  0     0.00000001
  0  0  2  7  1  0     0.00000000
  0  0  4  7  1  0     0.00000001
  0  0  6  7  1  0     0.00000000
  0  0  8  7  1  0     0.00000000
  0  0 10  7  1  0     0.00000000
  1  1  0  7  1  0    -0.00000007
  2  1  0  7  1  0    -0.00000350
  3  1  0  7  1  0     0.00002513
  4  1  0  7  1  0     0.00004628
  5  1  0  7  1  0     0.00044632
  0  0  0  8  1  0     0.00000015
  1  0  0  8  1  0     0.00000043
  2  0  0  8  1  0    -0.00000626
  3  0  0  8  1  0    -0.00000801
  4  0  0  8  1  0     0.00016301
  5  0  0  8  1  0     0.00015682
  6  0  0  8  1  0     0.00141584
 10  0  0  8  1  0    -0.00216294
  0  1  0  8  1  0     0.00000007
  0  2  0  8  1  0     0.00000022
  0  3  0  8  1  0     0.00000002
  0  4  0  8  1  0     0.00000001
  0  5  0  8  1  0     0.00000000
  0  6  0  8  1  0     0.00000000
  0  7  0  8  1  0     0.00000000
  0  8  0  8  1  0     0.00000001
  0  9  0  8  1  0    -0.00000001
  0 10  0  8  1  0    -0.00000001
  0  0  2  8  1  0     0.00000007
  0  0  4  8  1  0     0.00000000
  0  0  6  8  1  0     0.00000000
  0  0  8  8  1  0     0.00000000
  0  0 10  8  1  0     0.00000000
  1  1  0  8  1  0    -0.00000006
  2  1  0  8  1  0     0.00000056
  3  1  0  8  1  0     0.00000709
  4  1  0  8  1  0    -0.00002697
  5  1  0  8  1  0     0.00004877
  6  1  0  8  1  0    -0.00053560
  0  0  0  9  1  0    -0.00000011
  1  0  0  9  1  0     0.00000014
  2  0  0  9  1  0     0.00000183
  3  0  0  9  1  0    -0.00001077
  4  0  0  9  1  0    -0.00005521
  5  0  0  9  1  0    -0.00019059
  6  0  0  9  1  0    -0.00013685
  7  0  0  9  1  0    -0.00178306
  0  1  0  9  1  0    -0.00000001
  0  2  0  9  1  0    -0.00000016
  0  3  0  9  1  0    -0.00000004
  0  4  0  9  1  0     0.00000001
  0  5  0  9  1  0    -0.00000001
  0  6  0  9  1  0     0.00000002
  0  7  0  9  1  0    -0.00000002
  0  8  0  9  1  0    -0.00000001
  0  9  0  9  1  0     0.00000000
  0 10  0  9  1  0     0.00000000
  0  0  2  9  1  0    -0.00000002
  0  0  4  9  1  0     0.00000001
  0  0  6  9  1  0     0.00000000
  0  0  8  9  1  0     0.00000000
  0  0 10  9  1  0     0.00000000
  1  1  0  9  1  0     0.00000019
  2  1  0  9  1  0     0.00000025
  3  1  0  9  1  0     0.00000197
  4  1  0  9  1  0     0.00002501
  5  1  0  9  1  0    -0.00001619
  6  1  0  9  1  0     0.00004197
  7  1  0  9  1  0     0.00098870
  0  0  0  1  2  0     0.00005641
  1  0  0  1  2  0    -0.00026306
  2  0  0  1  2  0     0.00000859
  3  0  0  1  2  0    -0.00031749
  4  0  0  1  2  0    -0.00001326
  5  0  0  1  2  0    -0.00002308
  6  0  0  1  2  0     0.00000159
  7  0  0  1  2  0    -0.00000112
  8  0  0  1  2  0    -0.00000017
  9  0  0  1  2  0     0.00000009
 10  0  0  1  2  0    -0.00000007
  0  4  0  1  2  0    -0.00011548
  0  5  0  1  2  0    -0.00009047
  0  6  0  1  2  0     0.00004715
  0  7  0  1  2  0    -0.00002219
  0  8  0  1  2  0    -0.00001020
  0  9  0  1  2  0     0.00000471
  0 10  0  1  2  0     0.00000248
  0  0  2  1  2  0     0.00002539
  0  0  4  1  2  0     0.00000147
  0  0  6  1  2  0     0.00000008
  0  0  8  1  2  0     0.00000001
  0  0 10  1  2  0     0.00000000
  3  1  0  1  2  0     0.00077411
  4  1  0  1  2  0     0.00010521
  5  1  0  1  2  0     0.00007221
  6  1  0  1  2  0    -0.00000137
  7  1  0  1  2  0     0.00000486
  8  1  0  1  2  0     0.00000065
  9  1  0  1  2  0     0.00000019
  0  0  0  2  2  0    -0.00019070
  1  0  0  2  2  0     0.00000870
  2  0  0  2  2  0    -0.00052024
  3  0  0  2  2  0    -0.00006530
  4  0  0  2  2  0    -0.00043002
  5  0  0  2  2  0     0.00001705
  6  0  0  2  2  0    -0.00003850
  7  0  0  2  2  0    -0.00000306
  8  0  0  2  2  0     0.00000233
  9  0  0  2  2  0    -0.00000040
 10  0  0  2  2  0    -0.00000028
  0  1  0  2  2  0     0.00046408
  0  2  0  2  2  0    -0.00024194
  0  3  0  2  2  0    -0.00054071
  0  4  0  2  2  0     0.00042302
  0  5  0  2  2  0     0.00020638
  0  6  0  2  2  0    -0.00009313
  0  7  0  2  2  0     0.00004173
  0  8  0  2  2  0     0.00001895
  0  9  0  2  2  0    -0.00000880
  0 10  0  2  2  0    -0.00000470
  0  0  2  2  2  0    -0.00002879
  0  0  4  2  2  0    -0.00000169
  0  0  6  2  2  0    -0.00000010
  0  0  8  2  2  0    -0.00000001
  0  0 10  2  2  0     0.00000000
  4  1  0  2  2  0     0.00104999
  5  1  0  2  2  0    -0.00014994
  6  1  0  2  2  0     0.00011928
  7  1  0  2  2  0     0.00000324
  8  1  0  2  2  0    -0.00000875
  9  1  0  2  2  0     0.00000271
  0  0  0  3  2  0    -0.00000807
  1  0  0  3  2  0    -0.00031749
  2  0  0  3  2  0    -0.00006517
  3  0  0  3  2  0    -0.00076796
  4  0  0  3  2  0    -0.00015114
  5  0  0  3  2  0     0.00053010
  6  0  0  3  2  0     0.00001941
  7  0  0  3  2  0     0.00005620
  8  0  0  3  2  0     0.00000729
  9  0  0  3  2  0     0.00000469
 10  0  0  3  2  0     0.00000139
  0  1  0  3  2  0     0.00005881
  0  2  0  3  2  0     0.00001507
  0  3  0  3  2  0    -0.00007031
  0  4  0  3  2  0     0.00001912
  0  5  0  3  2  0     0.00000583
  0  6  0  3  2  0    -0.00000213
  0  7  0  3  2  0     0.00000090
  0  8  0  3  2  0     0.00000040
  0  9  0  3  2  0    -0.00000017
  0 10  0  3  2  0    -0.00000007
  0  0  2  3  2  0    -0.00000038
  0  0  4  3  2  0    -0.00000006
  0  0  6  3  2  0     0.00000000
  0  0  8  3  2  0     0.00000000
  0  0 10  3  2  0     0.00000000
  1  1  0  3  2  0     0.00077414
  5  1  0  3  2  0    -0.00129530
  6  1  0  3  2  0    -0.00019198
  7  1  0  3  2  0    -0.00017386
  8  1  0  3  2  0    -0.00001113
  9  1  0  3  2  0    -0.00001450
  1  2  0  3  2  0    -0.00040118
  0  0  0  4  2  0     0.00001072
  1  0  0  4  2  0    -0.00001326
  2  0  0  4  2  0    -0.00043003
  3  0  0  4  2  0    -0.00015099
  4  0  0  4  2  0    -0.00100382
  5  0  0  4  2  0     0.00024229
  6  0  0  4  2  0     0.00061883
  7  0  0  4  2  0    -0.00002007
  8  0  0  4  2  0    -0.00006906
  9  0  0  4  2  0     0.00003414
 10  0  0  4  2  0    -0.00001082
  0  1  0  4  2  0    -0.00003400
  0  2  0  4  2  0     0.00000879
  0  3  0  4  2  0     0.00004082
  0  4  0  4  2  0    -0.00002415
  0  5  0  4  2  0    -0.00001210
  0  6  0  4  2  0     0.00000578
  0  7  0  4  2  0    -0.00000273
  0  8  0  4  2  0    -0.00000129
  0  9  0  4  2  0     0.00000061
  0 10  0  4  2  0     0.00000033
  0  0  2  4  2  0     0.00000172
  0  0  4  4  2  0     0.00000015
  0  0  6  4  2  0     0.00000001
  0  0  8  4  2  0     0.00000000
  0  0 10  4  2  0     0.00000000
  1  1  0  4  2  0     0.00010521
  2  1  0  4  2  0     0.00105003
  6  1  0  4  2  0    -0.00151148
  7  1  0  4  2  0     0.00022783
  8  1  0  4  2  0     0.00022594
  9  1  0  4  2  0    -0.00007459
  1  2  0  4  2  0     0.00003048
  2  2  0  4  2  0    -0.00054153
  0  0  0  5  2  0     0.00000067
  1  0  0  5  2  0    -0.00002308
  2  0  0  5  2  0     0.00001705
  3  0  0  5  2  0     0.00053012
  4  0  0  5  2  0     0.00024213
  5  0  0  5  2  0    -0.00122723
  6  0  0  5  2  0    -0.00033725
  7  0  0  5  2  0     0.00070064
  8  0  0  5  2  0    -0.00001583
  9  0  0  5  2  0     0.00004841
 10  0  0  5  2  0     0.00008907
  0  1  0  5  2  0    -0.00000037
  0  2  0  5  2  0     0.00000165
  0  3  0  5  2  0     0.00000053
  0  4  0  5  2  0    -0.00000135
  0  5  0  5  2  0    -0.00000096
  0  6  0  5  2  0     0.00000048
  0  7  0  5  2  0    -0.00000021
  0  8  0  5  2  0    -0.00000009
  0  9  0  5  2  0     0.00000005
  0 10  0  5  2  0     0.00000003
  0  0  2  5  2  0     0.00000003
  0  0  4  5  2  0     0.00000000
  0  0  6  5  2  0     0.00000000
  0  0  8  5  2  0     0.00000000
  0  0 10  5  2  0     0.00000000
  1  1  0  5  2  0     0.00007221
  2  1  0  5  2  0    -0.00014994
  3  1  0  5  2  0    -0.00129534
  7  1  0  5  2  0    -0.00170538
  8  1  0  5  2  0     0.00021343
  9  1  0  5  2  0    -0.00027081
  1  2  0  5  2  0    -0.00001954
  2  2  0  5  2  0    -0.00004884
  3  2  0  5  2  0     0.00066587
  0  0  0  6  2  0     0.00000044
  1  0  0  6  2  0     0.00000159
  2  0  0  6  2  0    -0.00003850
  3  0  0  6  2  0     0.00001941
  4  0  0  6  2  0     0.00061884
  5  0  0  6  2  0    -0.00033707
  6  0  0  6  2  0    -0.00144419
  7  0  0  6  2  0     0.00046090
  8  0  0  6  2  0    -0.00080387
  9  0  0  6  2  0     0.00007107
 10  0  0  6  2  0    -0.00005728
  0  1  0  6  2  0    -0.00000209
  0  2  0  6  2  0    -0.00000007
  0  3  0  6  2  0     0.00000252
  0  4  0  6  2  0    -0.00000103
